2014-01-30 01:18:38,030 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: E-Health_Server:E-Health_Server:0.0.1-SNAPSHOT @ C:\Users\apoclyps\Desktop\SoC-E-Health-Server-fc93293640d56ad9801cda5bf378407a7063b72f\E-Health Server\pom.xml.
2014-01-30 01:18:38,117 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: E-Health_Server:E-Health_Server:0.0.1-SNAPSHOT @ C:\Users\apoclyps\Desktop\SoC-E-Health-Server-fc93293640d56ad9801cda5bf378407a7063b72f\E-Health Server\pom.xml.
2014-01-30 01:18:38,400 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2014-01-30 01:18:38,455 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2014-01-30 01:18:40,841 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2014-01-30 01:18:41,595 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-30 01:18:41,596 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\apoclyps\Desktop\SoC-E-Health-Server-fc93293640d56ad9801cda5bf378407a7063b72f\E-Health Server\src\main\resources
2014-01-30 01:18:41,601 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-30 01:18:41,602 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\apoclyps\Desktop\SoC-E-Health-Server-fc93293640d56ad9801cda5bf378407a7063b72f\E-Health Server\src\test\resources
2014-01-30 01:18:43,301 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: E-Health_Server:E-Health_Server:0.0.1-SNAPSHOT @ C:\Users\apoclyps\Desktop\SoC-E-Health-Server-fc93293640d56ad9801cda5bf378407a7063b72f\E-Health Server\pom.xml.
2014-01-30 01:18:43,429 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
